day,time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,179,180,181,182,183,184,185,186,187,188,189,190,191,192,193,194,195,196,197,198,199
0,600,,,,,1.53,1.275,8.233,,,,6.594,8.05,8.67,,7.446,10.2,10.03,,,,,8.727,,,,8.16,,0.938,18.613,,,1.122,,,3.105,,,238.88,166.056,5.917,0.644,,,,,,,,,,,,,,1.36,5.865,2.38,2.04,32.844,,6.654,,,,,113.591,101.847,158.355,1.02,1.53,,2.331,16.729,,3.23,0.256,,,,,,,,,,,102.608,35.239,718.968,827.364,17.272,298.89,250.018,173.188,119.606,77.865,21.136,19.285,,,15.742,,91.074,1.457,224.102,9.18,,14.025,,,,,,,,,5.814,,1.098,,,,,,1.02,501.33,214.961,183.833,3.4,18.994,324.952,3.073,438.009,,63.31,0.987,1.128,,,,,,,,,,45.325,4.347,0.85,,9.907,20.868,,,,162.357,157.375,2.275,,,0.799,0.859,6.375,0.696,0.875,379.045,4.08,361.684,213.909,35.268,2852.96,770.036,758.703,660.152,1692.597,336.09,,,8.925,642.84,,,,72.287,,,,,,,8.653,,,,155.895,6.205,,,,78.693
0,660,,,,,1.224,1.445,9.453,,,,5.855,5.603,7.31,,6.213,8.925,,,,,,7.14,,,,4.59,,1.045,18.723,,,1.113,,,3.046,,,244.545,151.029,6.027,0.603,,,,,,,,,,,,,,1.105,6.12,1.927,2.21,32.64,,6.754,,,,,114.829,101.947,147.9,1.133,1.728,,1.02,16.416,,2.828,0.214,,,,,,,,,,,103.263,35.872,715.972,833.698,16.984,277.488,248.319,178.12,119.288,63.08,21.305,19.178,,,18.59,,92.98,,219.999,,,6.248,,,,,,,,,10.455,,1.36,,,,,,1.177,350.88,207.367,166.945,1.7,13.592,1220.35,3.153,437.987,,66.37,1.249,1.207,,,,,,,,,,28.774,4.222,8.798,260.1,9.895,21.454,,,,139.396,97.906,1.849,,,0.734,0.814,1.247,0.742,1.505,378.382,371.28,360.825,206.914,38.021,1929.556,706.52,867.278,907.46,1588.89,475.32,,,5.61,512.054,,,,94.864,,,,,,,6.994,,,,445.473,6.72,,,,86.062
0,720,,,,,1.02,1.437,8.427,,,,6.8,7.763,6.12,,6.67,8.033,,,,,,9.18,,,,6.715,,0.915,19.02,,,1.292,,,6.17,,,215.39,160.798,5.846,0.536,,,,,,,,,,,,,,1.02,5.1,2.508,2.04,33.587,,6.765,,,,,114.699,102.775,,1.066,2.689,,1.785,16.562,,4.038,0.241,,,,,,,,,,,102.16,37.034,721.016,824.62,18.818,285.725,247.279,176.257,119.289,66.931,20.762,18.903,,,27.686,,94.362,2.72,830.591,6.12,,4.335,,,,,,,,,8.075,,1.02,,,,,,1.19,,176.43,194.243,2.04,14.592,921.955,3.435,437.992,,63.177,1.215,1.035,,,,,,,,,,29.752,4.164,1.02,287.64,9.89,28.492,,,,112.488,158.535,1.974,,,0.718,0.876,3.74,0.668,0.937,376.96,632.4,143.31,207.789,38.584,2064.014,756.84,868.934,826.115,1990.646,368.9,,,4.08,508.752,,,,86.293,,,,,,,11.024,,,,343.328,6.19,,,,103.105
0,780,,,,,1.36,1.53,8.368,,,,5.727,8.269,4.59,,6.286,8.646,,,,,,10.71,,,,9.569,,1.023,18.425,,,1.205,,,3.194,,,212.16,131.92,5.961,0.677,,,,,,,,,,,,,,1.084,3.06,1.955,2.04,33.66,,6.69,,,,,115.892,103.919,,1.02,1.632,,1.402,16.628,,3.709,0.197,,,,,,,,,,,98.669,37.767,730.421,838.458,37.194,317.008,256.255,184.594,120.666,99.649,22.632,20.016,,,27.377,,89.518,,352.36,,,7.14,,,,,,,,,5.454,,1.311,,,,,,1.36,273.943,195.344,174.745,2.04,15.402,301.666,3.329,432.926,,63.185,1.367,1.489,,,,,,,,,,27.703,4.472,1.148,,9.956,19.947,,,,135.571,125.205,1.874,,,0.833,0.896,1.53,0.855,1.467,378.094,4.08,7.14,215.439,30.436,1270.334,797.079,910.249,1037.0,1449.541,357.204,,,3.57,508.911,,,,78.517,,,,,,,8.573,,,,621.747,8.628,,,,93.354
0,840,,,,,1.36,1.53,8.978,,,,6.821,7.777,6.46,,7.452,8.67,,,,,,10.2,,,,6.12,,0.921,18.469,,,1.133,,,3.476,,,255.185,182.832,5.908,1.036,,,,,,,,,,,,,,1.432,13.26,2.448,2.04,48.62,,6.967,,,,,114.424,102.024,220.32,1.122,1.938,,1.19,16.562,,2.833,0.222,,,,,,,,,,,100.326,37.327,722.017,826.744,18.129,262.164,248.754,178.822,120.024,70.504,20.753,19.288,,,32.839,,92.24,2.04,447.225,,,7.48,,,,,,,,,6.917,,1.428,,,,,,1.133,326.91,196.592,144.942,2.04,24.179,305.072,3.194,436.754,,61.745,0.979,0.988,,,,,,,,,,32.525,4.176,1.02,,9.867,18.785,,,,127.002,183.761,3.128,,,0.918,1.018,1.428,0.643,0.994,377.575,257.614,162.18,210.703,33.59,1864.114,884.85,884.974,888.165,1462.065,232.56,,,13.77,514.634,,,,83.916,,,,,,,9.869,,,,147.174,7.024,,,,82.219
0,900,,,,,1.658,1.148,9.094,,,,5.65,6.061,,,6.14,7.48,8.004,,,,,9.18,,,,3.358,,0.823,18.39,,,1.658,,,3.375,,,205.632,183.489,5.831,0.921,,,,,,,,,,,,,,1.275,6.46,2.21,3.23,45.9,,6.736,,,,,113.479,101.615,,1.02,1.7,,1.166,16.576,,2.04,0.184,,,,,,,,,,,102.677,37.964,728.259,828.823,15.817,272.125,250.007,167.222,118.931,67.83,20.529,18.885,,,16.115,,101.25,1.749,208.789,5.1,,6.324,,,,,,,,,4.015,,,,,,,,1.096,274.493,210.143,143.989,2.04,15.357,314.595,2.872,453.835,,64.415,1.166,1.306,,,,,,,,,,28.971,4.221,1.02,,9.778,22.287,,,,139.135,137.976,2.04,,,0.948,1.039,1.7,0.691,1.187,378.082,7.395,238.34,212.014,32.494,2776.378,2640.525,902.717,852.975,2477.496,280.5,,,6.994,645.594,,,,85.232,,,,,,,10.94,,,,245.3,5.819,,,,111.452
0,960,,,,,1.36,1.87,8.182,,,,7.442,6.848,10.2,,7.018,12.824,,,,,,12.495,,,,8.84,,0.827,18.734,,,1.603,,,3.139,,,102.0,222.785,5.724,0.494,,,,,,,,,,,,,,3.188,5.865,2.295,3.188,,,6.635,,,,,114.012,101.201,,1.02,1.53,,1.181,16.434,,4.692,0.167,,,,,,,,,,,100.064,37.379,721.14,830.329,18.047,279.762,249.447,167.842,119.235,88.779,21.313,19.281,,,24.721,,106.091,1.927,157.143,,,11.628,,,,,,,,,6.148,,,,,,,,1.275,271.065,186.501,154.17,,19.145,311.133,2.952,447.21,,66.771,1.043,1.138,,,,,,,,,,27.944,4.18,2.04,,9.71,20.897,,,,126.096,107.388,2.664,,,0.914,1.011,1.088,0.605,0.947,377.947,1109.026,566.833,204.947,33.532,1447.911,806.99,913.778,992.46,1974.623,343.995,,,7.14,707.88,,,,87.042,,,,,,,8.624,,,,127.375,6.862,,,,119.777
0,1020,,,,,1.428,1.496,8.274,,,,7.386,5.655,,,6.13,10.2,,,,,,7.271,,,,4.517,,0.795,19.051,,,1.202,,,3.164,,,285.855,180.649,5.851,0.487,,,,,,,,,,,,,,1.36,8.84,2.04,2.21,53.04,,6.611,,,,,113.396,101.863,149.94,1.19,1.53,,1.133,16.513,,4.284,0.182,,,,,,,,,,,102.534,38.014,723.756,829.499,18.742,268.727,253.092,176.428,119.827,62.587,21.093,19.415,,,21.909,,111.601,1.02,266.93,,,9.945,,,,,,,,,4.533,,2.04,,,,,,1.275,,176.898,151.762,2.04,16.158,313.494,2.929,425.233,,66.131,0.986,1.029,,,,,,,,,,31.566,4.168,1.02,289.68,9.683,19.108,,,,111.177,102.938,2.978,,,0.782,0.893,1.428,0.625,0.744,376.182,563.89,726.282,210.12,38.015,3109.566,750.176,841.597,874.14,1385.478,638.01,,,3.853,506.106,,,,89.061,,,,,,,8.814,,,,326.292,6.866,,,,100.878
0,1080,,,,,1.7,1.53,9.045,,,,7.371,8.661,6.46,,8.057,10.2,10.914,,,,,11.985,,,,8.351,,0.831,18.946,,,1.02,,,3.092,,,160.31,181.487,6.291,0.608,,,,,,,,,,,,,,1.199,4.76,2.153,2.465,40.8,,6.648,,,,,113.267,101.549,133.62,1.36,1.53,,1.53,16.339,,3.468,0.164,,,,,,,,,,,101.318,36.121,714.853,826.192,17.14,279.438,244.597,168.11,120.149,104.611,20.757,19.194,,,14.241,,98.68,,309.574,12.24,,8.568,,,,,,,,,8.317,,,,,,,,1.02,,193.527,186.101,,18.122,296.091,2.746,420.931,,63.354,1.0,0.966,,,,,,,,,,30.261,4.038,1.02,,9.687,19.125,,,,110.34,108.491,1.7,,,0.736,0.845,1.19,0.682,1.194,376.219,239.02,1110.576,211.14,33.379,2384.036,779.96,705.017,787.44,1380.923,272.34,,,8.772,540.623,,,,78.981,,,,,,,8.189,,,,253.897,6.57,,,,83.326
0,1140,,,,,1.224,1.53,10.165,,,,7.395,11.492,,,7.145,16.192,,,,,,9.052,,,,3.06,,0.879,18.771,,,1.423,,,2.987,,,203.575,167.117,6.33,0.578,,,,,,,,,,,,,,1.7,10.2,4.08,2.55,49.98,,6.868,,,,,113.779,101.599,,1.275,1.658,,1.7,16.293,,2.869,0.158,,,,,,,,,,,98.247,37.289,716.213,827.053,16.656,299.029,243.585,169.838,119.019,159.426,20.522,18.897,,,12.075,,100.753,,174.367,,,8.84,,,,,,,,,11.594,,4.08,,,,,,1.02,,192.0,159.072,,16.388,311.745,2.888,435.773,,59.63,1.006,1.101,,,,,,,,,,28.864,4.075,1.02,,9.689,20.91,,,,110.384,93.098,2.923,,,0.708,0.811,1.428,0.664,0.855,378.321,346.29,264.86,211.504,37.532,1356.421,814.682,783.72,1414.91,1437.812,352.41,,,4.08,677.246,,,,78.658,,,,,,,10.814,,,,219.622,7.418,,,,83.81
